"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"5024","KRISHNA D/S OF ISLAMPUR","MAHARASHTRA","RIVERWATER",24.3,8,459,2.9,1.1,16,129,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"5025","KRISHNA AT SANGLI","MAHARASHTRA","RIVERWATER",23.7,8,573,3.2,0.98,4,121,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8
"5026","KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA","MAHARASHTRA","RIVERWATER",23.7,7.9,477,3.2,1.46,4,119,2011,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8
"5027","KRISHNA RIVER AT KSHETRA MAHULI.","MAHARASHTRA","RIVERWATER",20.7,8,457,5.3,0.61,205,1394,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4
"5028","KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.","MAHARASHTRA","RIVERWATER",20.4,7.8,430,5.6,0.64,217,1354,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4
"5029","KRISHNA RIVER AT WAI.","MAHARASHTRA","RIVERWATER",22.6,7.8,304,5.5,0.44,140,1257,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4
"5030","KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA","KARNATAKA","RIVERWATER",27.1,8.1,666,1.4,7.28,470,956,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5031","KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD","KARNATAKA","RIVERWATER",26,8.1,595,1.5,7.45,671,1303,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5032","KRISHNA AT THANGADI , MAHABOOBNAGAR DIST., A.P","ANDHRAPRADESH","RIVERWATER",31.5,8,755,3.1,0.41,42,1600,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5033","KRISHNA AT GADWAL BRIDGE, A.P.","ANDHRAPRADESH","RIVERWATER",30.8,8.1,795,3.2,0.43,12,948,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5034","KRISHNA A/C WITH TUNGABHADRA, SANGAMESHWARAM A.P.","ANDHRAPRADESH","RIVERWATER",26.9,7.9,466,2.7,1.11,130,1074,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5035","KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)","ANDHRAPRADESH","RIVERWATER",27.8,8.4,687,2.9,1.07,24,341,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5036","KRISHNA AT VEDADRI , GUNTUR ","ANDHRAPRADESH","RIVERWATER",28.9,7.9,732,0.7,0.27,6,2558,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5037","KRISHNA AT AMARAVATI , GUNTUR","ANDHRAPRADESH","RIVERWATER",27.9,7.6,680,0.6,0.24,5,1658,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5038","KRISHNA AT VIJAYWADA, A.P.","ANDHRAPRADESH","RIVERWATER",28.4,7.9,655,0.5,0.18,5,2192,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5039","KRISHNA AT HAMSALA DEEVI , GUNTUR DIST, A.P","ANDHRAPRADESH","RIVERWATER",28.4,7.8,2453,0.6,0.28,5,1367,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5040","PANCHAGANGA AT ICHALKARANJI","MAHARASHTRA","RIVERWATER",26.4,7.5,298,2.6,1.27,4,120,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"5041","PANCHAGANGA RIVER AT SHIROL NEAR SHIROL INTAKE WELL.","MAHARASHTRA","RIVERWATER",25,7.9,419,2.7,1.63,6,158,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"5042","PANCHAGANGA U/S OF KOLHAPUR TOWN","MAHARASHTRA","RIVERWATER",24.6,8,302,2.5,2.54,4,126,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"5043","PANCHAGANGA D/S OF KOLHAPUR TOWN","MAHARASHTRA","RIVERWATER",24.8,7.5,339,8.5,1.72,7,221,2011,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2
"5044","BHIMA AT PUNE U/S VITHALWADI","MAHARASHTRA","RIVERWATER",27,7.7,358,9.8,0.73,225,1550,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5045","BHIMA AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE","MAHARASHTRA","RIVERWATER",26.8,7.9,602,6.4,0.41,241,1258,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5046","BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR","MAHARASHTRA","RIVERWATER",27.7,7.7,571,4,0.53,127,865,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5047","BHIMA AT PUNE, D/S OF BUNDGARDEN","MAHARASHTRA","RIVERWATER",26.3,7.8,449,13.1,0.79,293,1700,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5048","BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) ","MAHARASHTRA","RIVERWATER",26.7,7.8,644,8.5,0.41,254,1610,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5049","BHIMA AFTER CONF. WITH DAUNT","MAHARASHTRA","RIVERWATER",27.5,7.9,601,7.8,0.53,208,1540,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5050","BHIMA AT NARSINGHPUR,(D/S AF.CONFL.WITH R.NIRA)","MAHARASHTRA","RIVERWATER",28.6,8,968,5.3,0.53,214,1485,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5051","BHIMA AT TAKLI","MAHARASHTRA","RIVERWATER",25,8.1,1412,6.3,0.71,216,1225,2011,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8
"5052","BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE","KARNATAKA","RIVERWATER",27.3,8.1,1066,3.3,0.62,18134.3000000001,50000,2011,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2
"5053","BHIMA AT FEROZABAD VILLAGE (D/S)","KARNATAKA","RIVERWATER",27.8,8.2,1019,2.8,0.63,2891,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8
"5054","BHIMA AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT","KARNATAKA","RIVERWATER",28.6,8.2,997,2.2,0.71,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8
"5055","GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG., KARNATAKA","KARNATAKA","RIVERWATER",28.8,7.9,885,1.3,12.48,324,565,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5056","GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNATAKA","KARNATAKA","RIVERWATER",27.4,7.9,331,1.2,7.11,334,641,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5057","MALPRABHA AT D/S OF KHANAPUR VILLAGE,KARNATAKA","KARNATAKA","RIVERWATER",26,7.7,203,1.4,3.68,530,1208,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76
"5058","MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNATAKA","KARNATAKA","RIVERWATER",26.1,8,246,0.8,3.27,330,739,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5059","MALPRABHA AT D/S OF AIHOLE TOWN, KARNATAKA","KARNATAKA","RIVERWATER",28.9,8.1,1095,0.8,8.27,376,551,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5060","MALPRABHA AT BADAMI BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",28.2,8,1193,1.1,9.36,294,612,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5061","TUNGHABHADRA AT HONNALI BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",24.9,7.7,251,2.1,1.01,47,218,2011,60,100,40,100,100,60,10.2,17,13,3.44,22,13.2,78.84
"5062","TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",26.3,7.9,343,2.2,1.35,40,190,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5063","TUNGHABHADRA AT ULLANUR, KARNATAKA","KARNATAKA","RIVERWATER",28.8,8,470,2.6,0.44,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8
"5064","TUNGHABHADRA AT MANTHRALAYAM , KURNOOL DIST.","ANDHRAPRADESH","RIVERWATER",27.1,7.7,777,2.5,4.04,133,1105,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5065","TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM, A.P.","ANDHRAPRADESH","RIVERWATER",26.6,7.5,726,3,1.44,184,1440,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5066","TUNGABHADRA AT NEW BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",26.1,7.7,258,2,0.99,283,924,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5067","TUNGABHADRA AT U/S OF HPF, KARNATAKA","KARNATAKA","RIVERWATER",26,7.4,266,1.9,1.14,40,195,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"5068","TUNGABHADRA AT D/S OF HPF, KARNATAKA","KARNATAKA","RIVERWATER",27.2,7.2,595,4.2,1.77,63,324,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"5069","TUNGABHADRA AT JACKWELL POINT, KARNATAKA","KARNATAKA","RIVERWATER",27.3,7.6,356,3.1,1.46,53,232,2011,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4
"5070","TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNATAKA","KARNATAKA","RIVERWATER",26.2,7.5,360,2.9,1.64,60,265,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5071","CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI","KARNATAKA","RIVERWATER",27.3,7.5,255,2.2,1.23,48,218,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"5072","BHADRA AT MALLESWARAM D/S OF KIOCL KARNATAKA","KARNATAKA","RIVERWATER",25.8,7.2,171,1,0.09,762,1600,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76
"5073","BHADRA AT D/S OF BHADRAVATHI, KARNATAKA","KARNATAKA","RIVERWATER",25.9,7.2,337,3.8,1.94,218,842,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5074","BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNATAKA","KARNATAKA","RIVERWATER",26.8,7.4,289,2.5,1.62,60,239,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"5075","BHADRA AT U/S OF MPM, KARNATAKA","KARNATAKA","RIVERWATER",25.3,7.4,203,1.6,1.46,36,161,2011,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"5076","BHADRA AT U/S OF KIOCL, KARNATAKA","KARNATAKA","RIVERWATER",24.4,7.3,157,1,0.07,460,1600,2011,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"5077","MUSI U/S AT HYDERABAD, A.P.","ANDHRAPRADESH","RIVERWATER",25.7,7.9,423,2.8,0.54,379,1350,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5078","MUSI D/S AT HYDERABAD, A.P.","ANDHRAPRADESH","RIVERWATER",26.5,7.6,1294,49.9,21.87,702,1600,2011,40,100,0,60,80,40,6.8,17,7.8,0,17.6,8.8,58
"5079","RIVER MUSI AT NAGOLE,RANGAREDDY","ANDHRAPRADESH","RIVERWATER",26.8,7.7,1355,109.7,16.51,1180,1600,2011,40,100,0,40,100,40,6.8,17,5.2,0,22,8.8,59.8
"5080","PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET, A.P.","ANDHRAPRADESH","RIVERWATER",29.8,7.8,732,0.7,0.29,5,2350,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5081","MUNERU BEFORE CONFL. WITH KRISHNA, NANDIGAMA, A.P.","ANDHRAPRADESH","RIVERWATER",28.8,7.7,769,0.7,0.25,6,2233,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5082","KAGINA D/S OF SEWAGE DISPOSAL POINT","KARNATAKA","RIVERWATER",26.3,8.1,667,1.4,1.3,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8
"5083","KAGINA AT SHAHABAD BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",26.8,8.1,681,2.3,1.5,2100,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8
"5084","RIVER NAKKAVAGU, Bachugudem,Medak","ANDHRAPRADESH","RIVERWATER",27.1,7.5,1774,10.5,11.61,40,367,2011,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8
"5085","RIVER HUNDRI, JOHARPUR(V), NEAR TEMPLE, KURNOOL","ANDHRAPRADESH","RIVERWATER",26.7,7.7,973,2.5,2.37,103,1033,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5086","RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL","ANDHRAPRADESH","RIVERWATER",26.5,7.7,751,2.8,2.73,620,1119,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5087","ASANGI NALLA AT ASANGI VILLAGE, KARNATAKA","KARNATAKA","RIVERWATER",29,8,779,1.2,6.92,322,564,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5088","NIRA AT D/S OF JUBILANT ORGANOSIS, PUNE.","MAHARASHTRA","RIVERWATER",27.3,8.1,767,7.8,0.83,208,1613,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5089","NIRA AT U/S OF JUBILANT ORGANOSIS (DATTAGHAT), BARAMATI, PUNE","MAHARASHTRA","RIVERWATER",27.2,8.1,545,4.5,0.63,192,1452,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5090","NIRA AT SAROLE BDG.ON PUNE-BANGLORE HIGHWAY","MAHARASHTRA","RIVERWATER",26.5,7.9,455,5.1,0.49,130,1050,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5091","NIRA AT SANGAVI, PHALTAN, SATARA","MAHARASHTRA","RIVERWATER",23.8,8.3,1588,8.7,0.51,198,1383,2011,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8
"5092","NIRA AT SHINDEWADI. SHIRVAL, KHANDALA, SATARA","MAHARASHTRA","RIVERWATER",23.9,8,251,6.1,0.38,154,1233,2011,60,100,40,60,100,40,10.2,17,7.8,3.44,22,8.8,69.24
"5093","VENNA AT VARYE, SATARA.","MAHARASHTRA","RIVERWATER",20.7,7.8,311,5.8,0.46,237,1373,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4
"5094","VENNA AT MAHABALESHWAR, SATARA","MAHARASHTRA","RIVERWATER",20.4,7.8,141,3.9,1.73,88,681,2011,60,100,80,80,100,40,10.2,17,10.4,6.88,22,8.8,75.28
"5095","VENNA AT MAHULI, SATARA","MAHARASHTRA","RIVERWATER",21.3,7.9,381,6.3,0.63,154,1050,2011,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8
"5096","KOYNA  AT KARAD.","MAHARASHTRA","RIVERWATER",22.4,7.9,192,5.6,0.39,245,1494,2011,60,100,60,80,100,40,10.2,17,10.4,5.16,22,8.8,73.56
"5097","MULA AT HARRISON BRIDGE NEAR MULA- PAWANA SANGAM.","MAHARASHTRA","RIVERWATER",25.8,7.8,445,13.5,0.69,264,1750,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5098","MULA AT AUNDH BRIDGE, AUNDGAON.","MAHARASHTRA","RIVERWATER",26.4,7.8,529,10.5,0.5,240,1691,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5099","MULA-MUTHA  AT MUNDHAWA BRIDGE.","MAHARASHTRA","RIVERWATER",26.3,7.7,452,14.1,0.84,292,1750,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5100","MULA-MUTHA AT D/S OF THEUR, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",27.3,7.7,548,11,0.65,299,1596,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5101","MUTHA AT SANGAM BRIDGE NEAR GANAPATHY GHAT.","MAHARASHTRA","RIVERWATER",26.3,7.7,429,16.9,0.96,290,1733,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5102","MUTHA NEAR VEER SAVARKAR BHAVAN, PUNE","MAHARASHTRA","RIVERWATER",26.4,7.6,417,16.3,0.82,313,1733,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5103","MUTHA AT DECCAN BRIDGE, DECCAN, PUNE","MAHARASHTRA","RIVERWATER",26.2,7.9,915,16.6,0.69,345,1800,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5104","MUTHA AT KHADAKVASLA DAM, KHADAKVASLA, HAWELI, PUNE.","MAHARASHTRA","RIVERWATER",26,7.7,152,2.3,0.23,37,341,2011,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"5105","PAWANA AT SANGAVIGAON, PUNE.","MAHARASHTRA","RIVERWATER",26,7.6,529,13.4,0.8,316,1764,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5106","PAWANA  AT KASARWADI, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25.5,7.6,537,12.9,0.84,289,1717,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5107","PAWANA AT DAPODI BRIDGE AT PAWANA-MULLA SANGAM, DAPODI, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25,7.7,605,13.4,0.71,308,1783,2011,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8
"5108","PAWANA AT RAVET WEIR, RAVET, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25.8,7.7,202,2.7,0.3,111,751,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76
"5109","PAWANA AT CHINCHWADGAON, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",26.3,7.6,345,9.3,0.64,238,1442,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5110","PAWANA AT PIMPRIGAON, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25.8,7.6,520,14.8,0.85,346,1725,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5111","INDRAYANI  AT D/S OF ALANDIGAON, PUNE","MAHARASHTRA","RIVERWATER",27.3,7.7,426,7.2,0.44,263,1600,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5112","INDRAYANI AT D/S OF MOSHIGAON, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",26.5,7.6,464,8.9,0.53,263,1604,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5113","INDRAYANI AT U/S OF MOSHIGAON, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",26.7,7.6,456,7,0.43,201,1498,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5114","CHANDRABHAGA U/S OF PANDHARPUR TOWN","MAHARASHTRA","RIVERWATER",32.2,8.1,1129,4.7,0.63,167,915,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5115","CHANDRABHAGA D/S OF PANDHARPUR TOWN","MAHARASHTRA","RIVERWATER",30.8,8.1,1336,6.3,0.71,212,1520,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5116","GHOD AT SHIRUR, PUNE","MAHARASHTRA","RIVERWATER",27.1,8,959,6.7,0.39,252,1377,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5117","SINA NEAR LABOTI TOLL NAKA, LABOTI, MOHAL, SOLAPUR","MAHARASHTRA","RIVERWATER",27.3,8,1078,6.6,0.93,167,1210,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5118","URMODI , NAGTHANE, SATARA","MAHARASHTRA","RIVERWATER",22.1,7.8,271,5.8,0.39,135,1113,2011,60,100,40,80,100,40,10.2,17,10.4,3.44,22,8.8,71.84
"5119","VEL AT SHIKRAPUR, SHIRUR, PUNE","MAHARASHTRA","RIVERWATER",27.3,7.9,448,7.8,0.3,218,1485,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4
"5120","PENNAR BEFORE CONFL.WITH CHITRAVATHI,TADPATRI,UNGANOOR","ANDHRAPRADESH","RIVERWATER",26.7,8,736,3.3,0.65,114,1002,2011,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65
"5121","PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI","ANDHRAPRADESH","RIVERWATER",25.5,8,783,2.7,0.69,126,1008,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5122","PENNAR AFTER CONF. WITH CHEYYURU,SOMASILE","ANDHRAPRADESH","RIVERWATER",29,8,794,1.1,0.26,6,3158,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5123","PENNAR AT SIDDVATA, NELLORE","ANDHRAPRADESH","RIVERWATER",26.1,7.9,768,2.7,1.3,118,1040,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5124","CAUVERY AT NAPOKULU BDG (D/S)","KARNATAKA","RIVERWATER",24.5,7.5,59,1,0.14,1600,1600,2011,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"5125","CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI)","KARNATAKA","RIVERWATER",25.3,7.8,93,1,0.13,1600,1600,2011,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48
"5126","CAUVERY AT KRS DAM, BALAMURIKSHETRA","KARNATAKA","RIVERWATER",26.6,8.5,235,1,0.31,1600,1600,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5127","CAUVERY AT D/S OF KAREKUARA VILLAGE","KARNATAKA","RIVERWATER",26.8,8.5,243,1,0.33,1600,1600,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5128","CAUVERY AT SRI RANGAPATTANNA,D/S OF ROAD BDG.","KARNATAKA","RIVERWATER",26.4,8.1,280,1.6,0.38,1600,1600,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5129","CAUVERY AT SATHYAGALAM BRIDGE","KARNATAKA","RIVERWATER",26.5,8.1,336,1,0.46,1600,1600,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5130","CAUVERY AT BANNUR BRIDGE","KARNATAKA","RIVERWATER",26.7,8.1,331,1.3,0.39,1600,1600,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5131","CAUVERY AT RANGANATHITTU","KARNATAKA","RIVERWATER",25.8,8.1,277,1.1,0.35,1600,1600,2011,40,100,40,100,100,40,6.8,17,13,3.44,22,8.8,71.04
"5132","CAUVERY AT METTUR","TAMILNADU","RIVERWATER",27.9,8.1,417,1.5,0.2,166,334,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5133","CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL","TAMILNADU","RIVERWATER",28.4,8,475,1.1,0.25,163,324,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5134","CAUVERY AT PALLIPPALAYAM","TAMILNADU","RIVERWATER",26.7,7.9,425,1.2,0.2,307,543,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5135","CAUVERY AT ERODE NEAR CHIRAPALAYAM","TAMILNADU","RIVERWATER",28.5,7.7,475,1.7,0.25,388,673,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5136","CAUVERY AT VELORE NEAR KATTIPALAYAM","TAMILNADU","RIVERWATER",26.2,7.9,442,1.3,0.17,171,347,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5137","CAUVERY AT PUGALUR, KARUR","TAMILNADU","RIVERWATER",28.9,8.2,727,1.2,0.22,161,323,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5138","CAUVERY AT MOHANUR NEAR PATTAIPALAYAM","TAMILNADU","RIVERWATER",25.8,7.8,500,1.3,0.16,177,368,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5139","CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVATI","TAMILNADU","RIVERWATER",28,8.1,635,0.8,0.17,160,325,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5140","CAUVERY AT MUSIRI","TAMILNADU","RIVERWATER",28.3,8.1,598,0.9,0.18,144,303,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5141","CAUVERY AT PETTAIVAITHALAI, TRICHY","TAMILNADU","RIVERWATER",27.8,7.8,670,0.9,0.23,151,305,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5142","CAUVERY AT TIRUCHIRAPPALLI U/S","TAMILNADU","RIVERWATER",27.6,8.2,576,0.8,0.2,144,287,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5143","CAUVERY AT TIRUCHIRAPPALLI D/S","TAMILNADU","RIVERWATER",26.6,8,739,1.9,0.16,255,460,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5144","CAUVERY AT TRICHY,GRAND ANAICUT","TAMILNADU","RIVERWATER",26,8.1,752,1.9,0.2,300,503,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6
"5145","CAUVERY AT THANJAVUR","TAMILNADU","RIVERWATER",28.2,8,657,1.3,0.21,154,317,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5146","CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM","TAMILNADU","RIVERWATER",24.3,8.1,576,1.9,0.22,165,319,2011,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"5147","CAUVERY AT KOMARAPALAYAM, NAMAKAL","TAMILNADU","RIVERWATER",26.8,7.8,431,1.3,0.25,178,348,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"5148","CAUVERY AT URRACHIKOTTAI, ERODE","TAMILNADU","RIVERWATER",27.5,7.9,290,1.2,0.19,134,288,2011,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"5149","CAUVERY AT VAIRAPALAYAM, NAMAKAL","TAMILNADU","RIVERWATER",26.9,7.8,399,1.9,0.21,169,352,2011,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
