"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"42","KUNDARA,KOLLAM DISTT.","KERALA","GROUNDWATER",24,6,110,0.6,0.8,10,40,2016,60,80,80,100,100,80,10.2,13.6,13,6.88,22,17.6,83.28
"43","CHERTHALA,ALLEPPY","KERALA","GROUNDWATER",28.5,7.7,180,0.4,0.1,0,150,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"44","VYTTILA,ERNAKULAM DISTT.","KERALA","GROUNDWATER",28.2,6.9,334,0.7,1.1,4,6,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"45","EDAYAR ERNAKULAM DISTT.","KERALA","GROUNDWATER",27,5.6,125,0.6,0.8,0,10,2016,40,60,80,100,100,80,6.8,10.2,13,6.88,22,17.6,76.48
"46","KALAMASSERY ERNAKULAM DISTT.","KERALA","GROUNDWATER",27,6.3,229,0.8,6.8,0,26,2016,40,80,40,100,100,80,6.8,13.6,13,3.44,22,17.6,76.44
"47","PUNKUNNAM TRISSUR DISTT.","KERALA","GROUNDWATER",28,8.3,350,1,2.4,0,0,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"48","MALAPURAM","KERALA","GROUNDWATER",30,6.1,224,1.4,0,20,32,2016,40,80,60,100,100,80,6.8,13.6,13,5.16,22,17.6,78.16
"49","MAVOOR, KOZHIKKODE DISTT.","KERALA","GROUNDWATER",27,6.9,78,0,2.5,6,8,2016,40,100,80,100,100,80,6.8,17,13,6.88,22,17.6,83.28
"50","KANNUR (MUNICIPALITY) KANNUR DISTTM","KERALA","GROUNDWATER",28,4.7,104,0.5,4.5,180,480,2016,40,60,80,100,100,60,6.8,10.2,13,6.88,22,13.2,72.08
"51","PAYYANNUR, KANNUR DISTT.","KERALA","GROUNDWATER",28,6,242,0.5,0.9,30,1000,2016,40,80,40,100,100,40,6.8,13.6,13,3.44,22,8.8,67.64
"52","FATHIMAPURAM (CHANGANASSERY)","KERALA","GROUNDWATER",27,6.1,183,0.3,4.8,500,1100,2016,40,80,60,100,100,40,6.8,13.6,13,5.16,22,8.8,69.36
"53","KAROOR (PALA)","KERALA","GROUNDWATER",27,6.1,83,0.8,3.5,200,300,2016,40,80,80,100,100,60,6.8,13.6,13,6.88,22,13.2,75.48
"54","VAIKOM","KERALA","GROUNDWATER",27.5,6.6,192,0.5,0.1,0,0,2016,40,100,60,100,100,100,6.8,17,13,5.16,22,22,85.96
"55","VADAVATHOOR (KOTTAYAM)","KERALA","GROUNDWATER",27,5.3,124,0.2,5.9,0,100,2016,40,60,80,100,100,60,6.8,10.2,13,6.88,22,13.2,72.08
"56","SARVODAPURAM, ALAPPUZHA","KERALA","GROUNDWATER",28,7.6,262,0.9,0.1,0,110,2016,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"57","KUREEPUZHA (KOLLAM)","KERALA","GROUNDWATER",24,7.3,146,1.2,1,140,360,2016,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28
"58","K.M.M.L. (KOLLAM)","KERALA","GROUNDWATER",24,8,342,1.2,1.1,160,400,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"59","CHELLORA TRENCHING GROUND (KANNUR)","KERALA","GROUNDWATER",27,5.1,41,0.7,1,4,112,2016,40,60,100,100,100,60,6.8,10.2,13,8.6,22,13.2,73.8
"60","PUNNALPETTIPPALAM (TELLICHERRY
MUNICIPALITY","KERALA","GROUNDWATER",27,5.8,350,0.7,5.4,48,350,2016,40,60,0,100,100,60,6.8,10.2,13,0,22,13.2,65.2
"61","MANJERI","KERALA","GROUNDWATER",30.5,5.7,174,1,0,40,68,2016,40,60,60,100,100,60,6.8,10.2,13,5.16,22,13.2,70.36
"62","LALOOR (THRISSUR)","KERALA","GROUNDWATER",29,6.7,360,0.3,2.8,40,260,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"63","OLLUR (THRISSUR)","KERALA","GROUNDWATER",29,5.3,270,0.5,2.2,0,0,2016,40,60,40,100,100,100,6.8,10.2,13,3.44,22,22,77.44
"64","BRAHMAPURAM M.S.W. DUMPARK
(ERNAKULAM)","KERALA","GROUNDWATER",27.6,6,270,0.5,0.4,12,20,2016,40,80,40,100,100,80,6.8,13.6,13,3.44,22,17.6,76.44
"65","HAZARDOUS WASTE DUMP
(AMBALAMUGHAL)","KERALA","GROUNDWATER",29.2,5.6,118,1,0.6,26,40,2016,40,60,80,100,100,80,6.8,10.2,13,6.88,22,17.6,76.48
"66","KARUKAMANI","KERALA","GROUNDWATER",28,8.4,735,0.8,0.8,280,440,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"67","WELL AT VELLIPARAMBA, KOZHEKODE","KERALA","GROUNDWATER",27,6.9,59,0,0,14,58,2016,40,100,100,100,100,60,6.8,17,13,8.6,22,13.2,80.6
"68","WELL OF TEMPLE PARASSINIKADAVU,
KANNUR","KERALA","GROUNDWATER",30,6.8,800,1.9,0.6,112,260,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"69","WELL AT PAYANOOR, KANNUR","KERALA","GROUNDWATER",27,6.7,175,1,0.5,208,480,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"70","WELL AT KARIMBAM, KANNUR","KERALA","GROUNDWATER",26,4.6,67,1.2,0.9,36,100,2016,40,60,100,100,100,60,6.8,10.2,13,8.6,22,13.2,73.8
"71","WELL, SHRI RAO PRAJAPATI WELL","MADHYAPRADESH","GROUNDWATER",23,8,126,1.25,0.1,120,630,2016,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88
"72","TUBE WELL NEAR INDUSTRIAL AREA UDYOG VIHAR , CHURAT,
REWA","MADHYAPRADESH","GROUNDWATER",30,7.1,712,1.2,4.1,2,7,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
